State,votesDem,votePctDem,votesRep,votePctRep,electoralDem,electoralRep,Pop
Alabama,729547,34.36,1318255,62.08,0,9,4898246
Alaska,116454,36.55,163387,51.28,0,3,735720
Arizona,1161167,45.13,1252401,48.67,0,11,7275070
Arkansas,380494,33.65,684872,60.57,0,6,3026412
California,8753788,61.73,4483810,31.62,55,0,39747267
Colorado,1338870,48.16,1202484,43.25,9,0,5770545
Connecticut,897572,54.57,673215,40.93,7,0,3567871
Delaware,235603,53.09,185127,41.72,3,0,975033
District of Columbia,282830,90.48,12723,4.07,3,0,711571
Florida,4504975,47.82,4617886,49.02,0,29,21646155
Georgia,1877963,45.64,2089104,50.77,0,16,10627767
Hawaii,266891,62.22,128847,30.03,3,0,1416589
Idaho,189765,27.49,409055,59.26,0,4,1790182
Illinois,3090729,55.83,2146015,38.76,20,0,12700381
Indiana,1033126,37.91,1557286,56.82,0,11,6718616
Iowa,653669,41.74,800983,51.15,0,6,3167997
Kansas,427005,36.05,671018,56.65,0,6,2910931
Kentucky,628854,32.68,1202971,62.52,0,8,4484047
Louisiana,780154,38.45,1178638,58.09,0,8,4652581
Maine,357735,47.83,335593,44.87,2,0,1342097
Maryland,1677928,60.33,943169,33.91,10,0,6062917
Massachusetts,1995196,60.01,1090893,32.81,11,0,6939373
Michigan,2268839,47.27,2279543,47.5,0,16,10020472
Minnesota,1367716,46.44,1322951,44.92,10,0,5655925
Mississippi,485131,40.11,700714,57.94,0,6,2987895
Missouri,1071068,38.14,1594511,56.77,0,10,6147861
Montana,177709,35.75,279240,56.17,0,3,1074532
Nebraska,284494,33.7,495961,58.75,0,2,1940919
Nevada,539260,47.92,512058,45.5,6,0,3087025
New Hampshire,348526,46.98,345790,46.61,4,0,1363852
New Jersey,2148278,54.99,1601933,41,14,0,8922547
New Mexico,385234,48.26,319667,40.04,5,0,2096034
New York,4556124,59.01,2819534,36.52,29,0,19491339
North Carolina,2189316,46.17,2362631,49.83,0,15,10497741
North Dakota,93758,27.23,216794,62.96,0,3,760900
Ohio,2394164,43.56,2841005,51.69,0,18,11718568
Oklahoma,420375,28.93,949136,65.32,0,7,3948950
Oregon,1002106,50.07,782403,39.09,7,0,4245901
Pennsylvania,2926441,47.46,2970733,48.18,0,20,12813969
Rhode Island,252525,54.41,180543,38.9,4,0,1056738
South Carolina,855373,40.67,1155389,54.94,0,9,5147111
South Dakota,117458,31.74,227721,61.53,0,3,892631
Tennessee,870695,34.72,1522925,60.72,0,11,6833793
Texas,3877868,43.24,4685047,52.23,0,36,29087070
Utah,310676,27.46,515231,45.54,0,6,3221610
Vermont,178573,56.68,95369,30.27,3,0,627180
Virginia,1981473,49.73,1769443,44.41,13,0,8571946
Washington,1742718,52.54,1221747,36.83,8,0,7666343
West Virginia,188794,26.43,489371,68.5,0,5,1791951
Wisconsin,1382536,46.45,1405284,47.22,0,10,5832661
Wyoming,55973,21.63,174419,67.4,0,3,572381